runNum,gaVal,tNum,tType,rt,kp,kpAcc,ret,retAcc
Run5,1.2696605734544428,43,nonlure,0.82,j,1,CUE4-0,1
Run5,1.2696605734544428,44,lure,0.53,j,1,CUE4-0,1
Run5,1.2696605734544428,45,target,0.66,f,1,CUE4-0,1
Run5,1.2696605734544428,46,lure,0.53,j,1,CUE4-0,1
Run5,1.2696605734544428,47,nonlure,0.46,j,1,CUE4-0,1
Run5,1.2696605734544428,48,target,0.445,f,1,CUE4-0,1
Run5,1.2696605734544428,49,nonlure,0.55,j,1,CUE4-0,1
Run5,1.2696605734544428,50,lure,0.52,j,1,CUE4-0,1
Run5,1.2696605734544428,51,target,0.54,f,1,CUE5-0,1
Run5,1.2696605734544428,52,nonlure,0.734,j,1,CUE5-0,1
Run5,1.2696605734544428,53,target,0.58,f,1,CUE5-0,1
Run5,1.2696605734544428,54,nonlure,0.71,j,1,CUE5-0,1
Run5,1.2696605734544428,55,nonlure,0.43,j,1,CUE5-0,1
Run5,1.2696605734544428,56,lure,0.48,j,1,CUE5-0,1
Run5,1.2696605734544428,57,nonlure,0.49,j,1,CUE5-0,1
Run5,1.2696605734544428,58,lure,0.586,j,1,CUE5-0,1
Run5,1.2696605734544428,59,nonlure,0.39,j,1,CUE5-0,1
Run5,1.2696605734544428,60,lure,0.42,j,1,CUE5-0,1
Run5,1.2696605734544428,61,nonlure,0.58,j,1,CUE6-0,1
